"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU169"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU170"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU171"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU172"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU173"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Xanthobacteraceae"	"[Rhodovulum]"	NA
"OTU174"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU175"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU176"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU177"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU178"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	NA	NA	NA	NA
"OTU179"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"OTU180"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"apiculatus"
"OTU181"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU182"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	NA	NA
"OTU183"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU184"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU185"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU186"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU187"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	NA	NA	NA
"OTU188"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU189"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU190"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU191"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU192"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	NA
"OTU193"	"Bacteria"	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	NA	NA
"OTU194"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU195"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU196"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	NA	NA	NA	NA
"OTU197"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"amylolyticus"
"OTU198"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU199"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Peregrinibacteria"	NA	NA	NA
"OTU200"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	NA	NA	NA
"OTU201"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU202"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU203"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU204"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	NA	NA	NA
"OTU205"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU206"	"Bacteria"	NA	NA	NA	NA	NA	NA
